NDB_NO,SHRT_DESC,WATER_G,ENERG_KCAL,PROTEIN_G,LIPID_TOT_G,ASH_G,CARBOHYDRT_G,FIBER_TD_G,SUGAR_TOT_G,CALCIUM_MG,IRON_MG,MAGNESIUM_MG,PHOSPHORUS_MG,POTASSIUM_MG,SODIUM_MG,ZINC_MG,COPPER_MG,MANGANESE_MG,SELENIUM_ΜG,VIT_C_MG,THIAMIN_MG,RIBOFLAVIN_MG,NIACIN_MG,PANTO_ACID_MG,VIT_B6_MG,FOLATE_TOT_ΜG,FOLIC_ACID_ΜG,FOOD_FOLATE_ΜG,FOLATE_DFE_ΜG,CHOLINE_TOT__MG,VIT_B12_ΜG,VIT_A_IU,VIT_A_RAE,RETINOL_ΜG,ALPHA_CAROT_ΜG,BETA_CAROT_ΜG,BETA_CRYPT_ΜG,LYCOPENE_ΜG,LUT_ZEA__ΜG,VIT_E_MG,VIT_D_ΜG,VIT_D_IU,VIT_K_ΜG,FA_SAT_G,FA_MONO_G,FA_POLY_G,CHOLESTRL_MG,GMWT_1,GMWT_DESC1,GMWT_2,GMWT_DESC2,REFUSE_PCT
11282,onions,89.11,40,1.1,0.1,0.35,9.34,1.7,4.24,23,0.21,10,29,146,4,0.17,0.039,0.129,0.5,7.4,0.046,0.027,0.116,0.123,0.12,19,0,19,19,6.1,0,2,0,0,0,1,0,0,4,0.02,0,0,0.4,0.042,0.013,0.017,0,160,"1 cup, chopped",115,"1 cup, sliced",10
09217,orange grapefruit juice,88.64,43,0.6,0.1,0.39,10.28,0.1,10.18,8,0.46,10,14,158,3,0.07,0.076,0.017,0.1,29.1,0.056,0.03,0.336,0.14,0.023,14,0,14,14,6.2,0,119,6,0,4,20,98,0,73,0.14,0,0,0.1,0.011,0.017,0.019,0,247,1 cup,30.9,1 fl oz,0
09206,orange juice,88.3,45,0.7,0.2,0.4,10.4,0.2,8.4,11,0.2,11,17,200,1,0.05,0.044,0.014,0.1,50,0.09,0.03,0.4,0.19,0.04,30,0,30,30,6.2,0,200,10,0,6,33,169,0,115,0.04,0,0,0.1,0.024,0.036,0.04,0,248,1 cup,31,1 fl oz,0
09216,orange peel,72.5,97,1.5,0.2,0.8,25,10.6,,161,0.8,22,21,212,3,0.25,0.092,,1,136,0.12,0.09,0.9,0.49,0.176,30,0,30,30,,0,420,21,0,,,,,,0.25,,,,0.024,0.036,0.04,0,6,1 tbsp,2,1 tsp,0
09452,orange pinapple juice blend,87.24,51,0.41,0.08,0.35,12.2,0.2,10.57,8,0.18,10,11,150,4,0.06,0.034,0.378,0.1,40.7,0.04,0.025,0.173,,0.061,10,0,10,10,3.8,0,17,1,0,3,5,9,0,14,0.07,0,0,0.1,0.011,0.009,0.024,0,246,8 fl oz,,,0
09200,orange,86.75,47,0.94,0.12,0.44,11.75,2.4,9.35,40,0.1,10,14,181,0,0.07,0.045,0.025,0.5,53.2,0.087,0.04,0.282,0.25,0.06,30,0,30,30,8.4,0,225,11,0,11,71,116,0,129,0.18,0,0,0,0.015,0.023,0.025,0,180,"1 cup, sections",184,"1 large, (3-1/16"" dia)",27
09200,oranges,86.75,47,0.94,0.12,0.44,11.75,2.4,9.35,40,0.1,10,14,181,0,0.07,0.045,0.025,0.5,53.2,0.087,0.04,0.282,0.25,0.06,30,0,30,30,8.4,0,225,11,0,11,71,116,0,129,0.18,0,0,0,0.015,0.023,0.025,0,180,"1 cup, sections",184,"1 large, (3-1/16"" dia)",27
19031,oriental mix,2.55,506,17.31,25.58,2.94,51.62,13.2,3,54,2.44,118,262,328,413,2.66,0.134,1.273,8.1,0.3,0.311,0.141,3.081,0.475,0.072,38,0,38,38,18.1,0,0,0,0,0,0,0,0,0,5.6,0,0,2.4,3.785,9.86,10.643,0,28.35,1 oz,57,2 oz,0
07201,oscar mayer,54.15,316,11.05,29.1,3.25,2.45,0,1.4,12,1.36,14,109,168,1179,2.03,0.11,,,0,0.05,0.11,2.42,0.28,0.17,13,0,13,13,,1.43,0,0,0,0,0,0,0,0,,0.8,32,,12.85,15.21,1.11,64,28,"1 serving, (1 slice)",,,0
35059,owl,71.3,136,22.7,5,1,0,,,16,4.8,,218,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,0
